username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ETudoPOP;2016-03-30 06:51;0;0;"@HugoGloss Bom diaaa!! #MasterchefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@HugoGloss;#MasterchefBR;"715114254458859525";https://twitter.com/ETudoPOP/status/715114254458859525
ETudoPOP;2016-03-30 06:48;0;0;"@Irma_Zuleide #MasterchefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@Irma_Zuleide;#MasterchefBR;"715113342050942976";https://twitter.com/ETudoPOP/status/715113342050942976
matheusft82;2016-03-30 06:44;0;0;"Peneirar quem fez os melhores pratos para depois eliminá-los porque não souberam cortar cenoura em tirinhas…? #MasterChefBr";;;#MasterChefBr;"715112566687723520";https://twitter.com/matheusft82/status/715112566687723520
princesse_emman;2016-03-30 06:43;3;1;"Follow plz @Ihab_Amir http:// instagram.com/ihabamiroffici ell/ … https://www. youtube.com/channel/UC0ty7 _kyGQ1FeveJMfYc0BA … #IhabAmir #EgyptAirHijack #GERITA #MasterChefBR #GERITA";;@Ihab_Amir;#IhabAmir #EgyptAirHijack #GERITA #MasterChefBR #GERITA;"715112178739724288";https://twitter.com/princesse_emman/status/715112178739724288
ETudoPOP;2016-03-30 06:42;0;0;"#QuartaHumildeNoClubeSDV #AnittaFaz23 #MasterchefBR #TaNoAr VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;;#QuartaHumildeNoClubeSDV #AnittaFaz23 #MasterchefBR #TaNoAr;"715111884710658048";https://twitter.com/ETudoPOP/status/715111884710658048
ETudoPOP;2016-03-30 06:41;0;0;"@Aguinaldinho #MasterchefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@Aguinaldinho;#MasterchefBR;"715111695035842560";https://twitter.com/ETudoPOP/status/715111695035842560
ETudoPOP;2016-03-30 06:40;0;0;"@HugoGloss Pra vc acordar animado... #MasterChefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@HugoGloss;#MasterChefBR;"715111347780976640";https://twitter.com/ETudoPOP/status/715111347780976640
ETudoPOP;2016-03-30 06:34;0;0;"@HugoGloss EXCLUSIVO!!! #MasterchefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@HugoGloss;#MasterchefBR;"715110003074531329";https://twitter.com/ETudoPOP/status/715110003074531329
AyelechWwrthhj;2016-03-30 06:34;0;0;"#MasterChefBR pic.twitter.com/s5I0MGD9t6";;;#MasterChefBR;"715109862913548288";https://twitter.com/AyelechWwrthhj/status/715109862913548288
ETudoPOP;2016-03-30 06:33;0;0;"Quero RT do @HugoGloss #MasterchefBR VEJA O ENSAIO NU DE MODELO DO MASTERCHEF BR 2016 https:// ehtudopop.wordpress.com/2016/03/30/vej a-o-ensaio-nu-de-modelo-do-masterchef-br-2016 … …";;@HugoGloss;#MasterchefBR;"715109722249162752";https://twitter.com/ETudoPOP/status/715109722249162752
